ENSMUSP00000152610,ENSMUSE00001415498
ENSMUSP00000117377,ENSMUSE00001231615
ENSMUSP00000157759,ENSMUSE00001462365
ENSMUSP00000157759,ENSMUSE00000256971
ENSMUSP00000157759,ENSMUSE00000256917
ENSMUSP00000157759,ENSMUSE00000256887
ENSMUSP00000157759,ENSMUSE00000256867
ENSMUSP00000157759,ENSMUSE00000256847
ENSMUSP00000157759,ENSMUSE00000256819
ENSMUSP00000157759,ENSMUSE00000256789
ENSMUSP00000157759,ENSMUSE00000256759
ENSMUSP00000157759,ENSMUSE00000256740
ENSMUSP00000158423,ENSMUSE00001462284
ENSMUSP00000119963,ENSMUSE00000790122
ENSMUSP00000147027,ENSMUSE00001270247
ENSMUSP00000147027,ENSMUSE00001297746
ENSMUSP00000147027,ENSMUSE00001243631
ENSMUSP00000147027,ENSMUSE00001288922
ENSMUSP00000147027,ENSMUSE00000729152
